Sentence;Category;;;;;;;;;;;
Es ist wichtig, regelmäßig Pausen zu machen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe mir eine neue Sporthose gekauft, sie passt perfekt.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Gipfel des Berges war spektakulär.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende einen kleinen Ausflug machen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute ein besonders interessantes Buch gelesen.;Spoken Speech - Simple;;;;;;;;;;;
Es tut gut, einfach mal abzuschalten und nichts zu tun.;Spoken Speech - Simple;;;;;;;;;;;
Der Kuchen ist besonders gut gelungen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute beim Spielen viel Spaß gehabt.;Spoken Speech - Simple;;;;;;;;;;;
Ich freue mich schon auf das nächste Familientreffen.;Spoken Speech - Simple;;;;;;;;;;;
Es ist wichtig, sich Zeit für Freunde zu nehmen.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Hotelzimmer war beeindruckend.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten heute Abend einen Spaziergang machen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe mir eine neue Jacke gekauft, sie gefällt mir sehr gut.;Spoken Speech - Simple;;;;;;;;;;;
Es ist schön, den Tag mit einem guten Frühstück zu beginnen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute viel Energie und spielen den ganzen Tag.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute einen neuen Park entdeckt, er ist wirklich schön.;Spoken Speech - Simple;;;;;;;;;;;
Es tut gut, einfach mal Zeit für sich selbst zu haben.;Spoken Speech - Simple;;;;;;;;;;;
Der Sonnenuntergang war heute besonders schön.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende eine Fahrradtour machen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe mir überlegt, einen neuen Sport auszuprobieren.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Gipfel war atemberaubend.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten heute Abend zusammen kochen.;Spoken Speech - Simple;;;;;;;;;;;
Ich freue mich schon auf den nächsten Urlaub.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute im Garten gespielt und sich gut amüsiert.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe ein neues Rezept ausprobiert und es hat gut geschmeckt.;Spoken Speech - Simple;;;;;;;;;;;
Es tut gut, einfach mal die Seele baumeln zu lassen.;Spoken Speech - Simple;;;;;;;;;;;
Der Kuchen ist dir wirklich gut gelungen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute beim Malen viel Spaß gehabt.;Spoken Speech - Simple;;;;;;;;;;;
Ich freue mich schon auf das nächste Wochenende.;Spoken Speech - Simple;;;;;;;;;;;
Es ist wichtig, sich regelmäßig zu bewegen.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Hotelzimmer war einfach traumhaft.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende einen Spaziergang machen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute einen neuen Park entdeckt, er ist wirklich schön.;Spoken Speech - Simple;;;;;;;;;;;
Es tut gut, einfach mal abzuschalten und zu entspannen.;Spoken Speech - Simple;;;;;;;;;;;
Morgen will ich früh aufstehen und eine Runde spazieren gehen.;Spoken Speech - Simple;;;;;;;;;;;
Hast du schon überlegt, was du am Wochenende machen möchtest?;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder freuen sich schon auf den Besuch im Schwimmbad.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe gestern ein Buch gelesen, das ich kaum aus der Hand legen konnte.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten heute Abend einen Film schauen, den wir beide noch nicht kennen.;Spoken Speech - Simple;;;;;;;;;;;
Das Wetter ist heute perfekt für einen Ausflug ins Grüne.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe eine neue Serie angefangen, sie ist richtig spannend.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten morgen gemeinsam einkaufen gehen, wenn du Zeit hast.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe vergessen, den Müll rauszubringen, das muss ich gleich noch machen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben im Garten gespielt und dabei viel gelacht.;Spoken Speech - Simple;;;;;;;;;;;
Es wäre schön, mal wieder ein Konzert zu besuchen.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten das lange Wochenende nutzen, um einen Kurzurlaub zu machen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe gestern Abend ein neues Rezept ausprobiert, es war ein voller Erfolg.;Spoken Speech - Simple;;;;;;;;;;;
Es ist so entspannend, im Park zu sitzen und die Natur zu genießen.;Spoken Speech - Simple;;;;;;;;;;;
Der Film gestern war gut, aber das Ende hat mich enttäuscht.;Spoken Speech - Simple;;;;;;;;;;;
Wir sollten bald entscheiden, wohin wir im Sommer verreisen wollen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder sind schon ganz aufgeregt wegen der Geburtstagsfeier am Wochenende.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute viel geschafft und bin richtig zufrieden mit mir.;Spoken Speech - Simple;;;;;;;;;;;
Wenn das Wetter morgen schön ist, könnten wir grillen.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Balkon ist einfach wunderschön, besonders am Abend.;Spoken Speech - Simple;;;;;;;;;;;
Ich freue mich schon darauf, bald wieder Urlaub zu haben.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten zusammen ein Picknick machen, das wäre mal etwas anderes.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute den ganzen Tag draußen gespielt und sind jetzt müde.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe ein tolles Angebot für einen Kurzurlaub gefunden.;Spoken Speech - Simple;;;;;;;;;;;
Es ist schön, den Abend gemütlich auf dem Sofa zu verbringen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe mir ein neues Hobby gesucht und es macht richtig Spaß.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute im Sandkasten gespielt und waren total glücklich.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute eine Freundin getroffen, die ich lange nicht mehr gesehen habe.;Spoken Speech - Simple;;;;;;;;;;;
Es tut gut, mal wieder etwas Zeit für sich selbst zu haben.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten heute Abend gemeinsam etwas Leckeres kochen.;Spoken Speech - Simple;;;;;;;;;;;
Die Sonne scheint so schön, lass uns einen Spaziergang machen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe lange nicht mehr so gut geschlafen wie letzte Nacht.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute beim Basteln viel Kreativität gezeigt.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende einen Ausflug an den See machen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe ein neues Rezept für einen Kuchen gefunden, das ich ausprobieren möchte.;Spoken Speech - Simple;;;;;;;;;;;
Es ist wichtig, regelmäßig Pausen zu machen und sich zu erholen.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Gipfel des Berges war einfach atemberaubend.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten heute Abend ein neues Restaurant ausprobieren.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute viel im Garten gearbeitet und bin jetzt richtig müde.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute beim Malen viel Spaß gehabt.;Spoken Speech - Simple;;;;;;;;;;;
Ich freue mich schon darauf, bald wieder ins Kino zu gehen.;Spoken Speech - Simple;;;;;;;;;;;
Es ist schön, den Tag mit einem guten Buch ausklingen zu lassen.;Spoken Speech - Simple;;;;;;;;;;;
Die Sonne scheint so schön, das macht gute Laune.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute ein tolles Angebot im Supermarkt entdeckt.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute im Park gespielt und hatten viel Spaß.;Spoken Speech - Simple;;;;;;;;;;;
Es wäre schön, mal wieder einen Ausflug in die Berge zu machen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe mir vorgenommen, mehr Zeit in der Natur zu verbringen.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Balkon ist einfach traumhaft.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende eine Fahrradtour machen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute eine interessante Dokumentation im Fernsehen gesehen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder freuen sich schon auf den Besuch im Zoo.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe mir eine neue Jacke gekauft, sie passt perfekt.;Spoken Speech - Simple;;;;;;;;;;;
Es ist wichtig, sich Zeit für Familie und Freunde zu nehmen.;Spoken Speech - Simple;;;;;;;;;;;
Der Film war spannend, aber das Ende hat mich überrascht.;Spoken Speech - Simple;;;;;;;;;;;
Ich freue mich schon auf das nächste Treffen mit meinen Freunden.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute viel Spaß beim Spielen gehabt.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten heute Abend einen Spaziergang machen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute ein neues Rezept ausprobiert und es hat gut geschmeckt.;Spoken Speech - Simple;;;;;;;;;;;
Es tut gut, einfach mal die Seele baumeln zu lassen.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Hotelzimmer war einfach traumhaft.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende einen Ausflug ans Meer machen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe lange nach einem Geschenk gesucht und endlich etwas gefunden.;Spoken Speech - Simple;;;;;;;;;;;
Es ist schön, den Tag mit einem guten Frühstück zu beginnen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute im Garten gespielt und viel gelacht.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute einen besonders produktiven Tag gehabt.;Spoken Speech - Simple;;;;;;;;;;;
Es tut gut, einfach mal abzuschalten und nichts zu tun.;Spoken Speech - Simple;;;;;;;;;;;
Der Film war wirklich gut, ich kann ihn nur empfehlen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute beim Basteln viel Spaß gehabt.;Spoken Speech - Simple;;;;;;;;;;;
Ich freue mich schon auf das nächste Wochenende.;Spoken Speech - Simple;;;;;;;;;;;
Es ist wichtig, sich regelmäßig zu bewegen und gesund zu ernähren.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Gipfel des Berges war einfach spektakulär.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende eine Wanderung machen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute ein neues Rezept ausprobiert und es war ein voller Erfolg.;Spoken Speech - Simple;;;;;;;;;;;
Es tut gut, einfach mal in der Natur zu sein.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute beim Spielen viel Energie gezeigt.;Spoken Speech - Simple;;;;;;;;;;;
Ich freue mich schon auf den nächsten Urlaub.;Spoken Speech - Simple;;;;;;;;;;;
Es ist schön, den Tag mit einem Spaziergang zu beginnen.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Hotelzimmer war beeindruckend.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten heute Abend einen Film schauen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute einen neuen Park entdeckt, er ist wirklich schön.;Spoken Speech - Simple;;;;;;;;;;;
Es tut gut, einfach mal Zeit für sich selbst zu haben.;Spoken Speech - Simple;;;;;;;;;;;
Der Sonnenuntergang war heute besonders schön.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende eine Fahrradtour machen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe mir überlegt, mit einem neuen Sport anzufangen.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Gipfel war atemberaubend.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten heute Abend gemeinsam kochen.;Spoken Speech - Simple;;;;;;;;;;;
Ich freue mich schon auf das nächste Familientreffen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute im Garten gespielt und sich gut amüsiert.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe ein neues Rezept ausprobiert und es hat gut geschmeckt.;Spoken Speech - Simple;;;;;;;;;;;
Es tut gut, einfach mal abzuschalten und zu entspannen.;Spoken Speech - Simple;;;;;;;;;;;
Der Film war spannend, aber das Ende war enttäuschend.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute beim Malen viel Kreativität gezeigt.;Spoken Speech - Simple;;;;;;;;;;;
Ich freue mich schon auf das nächste Wochenende.;Spoken Speech - Simple;;;;;;;;;;;
Es ist wichtig, sich regelmäßig zu bewegen.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Hotelzimmer war einfach traumhaft.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende einen Spaziergang machen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute einen neuen Park entdeckt, er ist wirklich schön.;Spoken Speech - Simple;;;;;;;;;;;
Es tut gut, einfach mal die Seele baumeln zu lassen.;Spoken Speech - Simple;;;;;;;;;;;
Der Kuchen ist dir wirklich gut gelungen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute beim Basteln viel Spaß gehabt.;Spoken Speech - Simple;;;;;;;;;;;
Heute Abend möchte ich endlich das Buch zu Ende lesen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe überlegt, ob ich mir ein Fahrrad kaufen sollte.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder waren heute den ganzen Tag draußen und sind jetzt müde.;Spoken Speech - Simple;;;;;;;;;;;
Es ist so schön, bei Sonnenschein durch den Park zu spazieren.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute einen neuen Kuchen gebacken, und er ist wirklich lecker geworden.;Spoken Speech - Simple;;;;;;;;;;;
Morgen will ich früh aufstehen und eine Runde joggen gehen.;Spoken Speech - Simple;;;;;;;;;;;
Die Blumen im Garten blühen in den schönsten Farben.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe beschlossen, dieses Jahr mehr Sport zu machen.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten das lange Wochenende nutzen, um mal wieder Freunde zu besuchen.;Spoken Speech - Simple;;;;;;;;;;;
Der Sonnenuntergang heute Abend war wirklich beeindruckend.;Spoken Speech - Simple;;;;;;;;;;;
Es wäre schön, mal wieder ein Picknick im Park zu machen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute den ganzen Nachmittag gebastelt.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe gestern ein tolles Angebot im Supermarkt entdeckt.;Spoken Speech - Simple;;;;;;;;;;;
Es tut gut, einfach mal die Füße hochzulegen und nichts zu tun.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe beschlossen, dieses Wochenende einfach mal zu entspannen.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Balkon ist bei Sonnenuntergang besonders schön.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende eine Wanderung in den Bergen machen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe eine neue Serie angefangen und bin schon süchtig danach.;Spoken Speech - Simple;;;;;;;;;;;
Es wäre schön, mal wieder einen Ausflug ans Meer zu machen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute im Garten gespielt und viel Spaß gehabt.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe gestern ein neues Rezept ausprobiert, und es ist gut gelungen.;Spoken Speech - Simple;;;;;;;;;;;
Es ist wichtig, sich regelmäßig Zeit für sich selbst zu nehmen.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten heute Abend zusammen einen Film schauen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe lange nicht mehr so gut geschlafen wie letzte Nacht.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder freuen sich schon auf den Besuch bei ihren Großeltern.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute im Garten gearbeitet und bin jetzt richtig müde.;Spoken Speech - Simple;;;;;;;;;;;
Es tut gut, mal wieder an der frischen Luft zu sein.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende eine Fahrradtour machen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute ein neues Café ausprobiert, und es war richtig gut.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Gipfel war einfach atemberaubend.;Spoken Speech - Simple;;;;;;;;;;;
Ich freue mich schon auf den nächsten Urlaub.;Spoken Speech - Simple;;;;;;;;;;;
Es wäre schön, mal wieder einen Ausflug in den Zoo zu machen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute den ganzen Nachmittag gemalt.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe beschlossen, mehr Zeit mit Freunden zu verbringen.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten heute Abend zusammen kochen und etwas Neues ausprobieren.;Spoken Speech - Simple;;;;;;;;;;;
Die Sonne scheint heute so schön, das macht gute Laune.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute einen langen Spaziergang gemacht und die Ruhe genossen.;Spoken Speech - Simple;;;;;;;;;;;
Es ist schön, den Tag mit einem guten Frühstück zu beginnen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute beim Spielen viel Energie gezeigt.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe mir vorgenommen, mehr Bücher zu lesen.;Spoken Speech - Simple;;;;;;;;;;;
Es wäre schön, mal wieder ins Theater zu gehen.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Balkon ist bei Nacht besonders schön.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende einen Ausflug an den See machen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe ein neues Rezept für einen Kuchen gefunden, das ich ausprobieren möchte.;Spoken Speech - Simple;;;;;;;;;;;
Es tut gut, einfach mal abzuschalten und nichts zu tun.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute beim Basteln viel Kreativität gezeigt.;Spoken Speech - Simple;;;;;;;;;;;
Ich freue mich schon auf das nächste Familientreffen.;Spoken Speech - Simple;;;;;;;;;;;
Es ist wichtig, sich regelmäßig Pausen zu gönnen.;Spoken Speech - Simple;;;;;;;;;;;
Der Film war spannend, aber das Ende hat mich enttäuscht.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute ein neues Buch angefangen und bin schon total begeistert.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute beim Malen viel Spaß gehabt.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten heute Abend einen Spaziergang machen und die Sterne beobachten.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe mir überlegt, mit Yoga anzufangen.;Spoken Speech - Simple;;;;;;;;;;;
Es wäre schön, mal wieder einen Tag am Strand zu verbringen.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Gipfel des Berges war einfach atemberaubend.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende eine kleine Wanderung machen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute ein tolles Angebot im Buchladen entdeckt.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder freuen sich schon auf das nächste Wochenende.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe beschlossen, mehr Zeit draußen zu verbringen.;Spoken Speech - Simple;;;;;;;;;;;
Es tut gut, einfach mal die Seele baumeln zu lassen.;Spoken Speech - Simple;;;;;;;;;;;
Die Sonne scheint heute so schön, das macht Lust auf einen Spaziergang.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe ein neues Café entdeckt und möchte es bald ausprobieren.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute im Sandkasten gespielt und waren überglücklich.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten heute Abend einen Film schauen, den wir beide mögen.;Spoken Speech - Simple;;;;;;;;;;;
Ich freue mich schon darauf, bald wieder ins Kino zu gehen.;Spoken Speech - Simple;;;;;;;;;;;
Es ist wichtig, sich Zeit für die schönen Dinge im Leben zu nehmen.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Hotelzimmer war einfach traumhaft.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende einen Tagesausflug machen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute ein neues Rezept ausprobiert und es ist wirklich gut geworden.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute beim Spielen viel Freude gehabt.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe mir vorgenommen, mehr Sport zu treiben und gesund zu leben.;Spoken Speech - Simple;;;;;;;;;;;
Es wäre schön, mal wieder einen Ausflug ins Grüne zu machen.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Gipfel des Berges war spektakulär.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende eine Fahrradtour planen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute ein interessantes Buch gelesen und konnte es kaum weglegen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder freuen sich schon auf den nächsten Ausflug.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe beschlossen, mehr Zeit mit meinen Hobbys zu verbringen.;Spoken Speech - Simple;;;;;;;;;;;
Es tut gut, einfach mal abzuschalten und die Ruhe zu genießen.;Spoken Speech - Simple;;;;;;;;;;;
Der Film war spannend, aber das Ende war etwas enttäuschend.;Spoken Speech - Simple;;;;;;;;;;;
Ich freue mich schon auf das nächste Treffen mit Freunden.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute beim Basteln viel Spaß gehabt.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten heute Abend zusammen kochen und ein neues Rezept ausprobieren.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe beschlossen, mehr Zeit draußen zu verbringen.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Balkon ist bei Sonnenuntergang besonders schön.;Spoken Speech - Simple;;;;;;;;;;;
Es wäre schön, mal wieder einen Tag am See zu verbringen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute im Garten gespielt und waren überglücklich.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute ein neues Rezept ausprobiert und es ist gut gelungen.;Spoken Speech - Simple;;;;;;;;;;;
Es tut gut, einfach mal die Seele baumeln zu lassen.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Hotelzimmer war atemberaubend.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende einen Ausflug ans Meer machen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute ein tolles Angebot im Supermarkt entdeckt.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder freuen sich schon auf den nächsten Besuch bei ihren Großeltern.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe beschlossen, mehr Zeit mit meinen Freunden zu verbringen.;Spoken Speech - Simple;;;;;;;;;;;
Es ist schön, den Tag mit einem guten Frühstück zu beginnen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute den ganzen Nachmittag gemalt.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute einen langen Spaziergang gemacht und die Ruhe genossen.;Spoken Speech - Simple;;;;;;;;;;;
Es wäre schön, mal wieder einen Ausflug in den Zoo zu machen.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Gipfel des Berges war beeindruckend.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende eine Wanderung planen.;Spoken Speech - Simple;;;;;;;;;;;
Ich freue mich schon darauf, bald wieder ins Theater zu gehen.;Spoken Speech - Simple;;;;;;;;;;;
Es war heute so heiß, dass wir den ganzen Tag im Schatten verbracht haben. Am Abend sind wir dann noch eine Runde spazieren gegangen.;Spoken Speech - more than one;;;;;;;;;;;
Ich habe gestern ein neues Rezept ausprobiert. Es war wirklich lecker, aber beim nächsten Mal könnte ich etwas weniger Salz nehmen.;Spoken Speech - more than one;;;;;;;;;;;
Hast du das neue Café in der Stadt gesehen? Ich war gestern dort und der Kuchen war richtig gut. Vielleicht sollten wir mal zusammen hingehen.;Spoken Speech - more than one;;;;;;;;;;;
Morgen soll es regnen, also bleiben wir besser zu Hause. Wir könnten einen Filmabend machen und Pizza bestellen.;Spoken Speech - more than one;;;;;;;;;;;
Ich war heute im Fitnessstudio und habe mein Workout gut durchgezogen. Jetzt fühle ich mich richtig fit, aber auch ziemlich erschöpft.;Spoken Speech - more than one;;;;;;;;;;;
Die Kinder waren heute den ganzen Tag draußen. Sie haben mit den Nachbarskindern gespielt und jetzt schlafen sie wie Steine.;Spoken Speech - more than one;;;;;;;;;;;
Ich habe dir gestern eine Nachricht geschickt, aber du hast nicht geantwortet. Hast du sie vielleicht übersehen?;Spoken Speech - more than one;;;;;;;;;;;
Wir könnten morgen ins Kino gehen, wenn du Lust hast. Der neue Film läuft jetzt und die Kritiken sind echt gut.;Spoken Speech - more than one;;;;;;;;;;;
Ich war heute mit meinem Hund im Park. Er hat so viel gerannt und gespielt, dass er jetzt völlig kaputt ist.;Spoken Speech - more than one;;;;;;;;;;;
Die neue Serie, die ich angefangen habe, ist richtig spannend. Ich konnte kaum aufhören, weiterzuschauen, bis es schon spät war.;Spoken Speech - more than one;;;;;;;;;;;
Ich war heute in der Stadt und habe ein paar neue Sachen gekauft. Vor allem ein paar schöne Schuhe, die richtig bequem sind.;Spoken Speech - more than one;;;;;;;;;;;
Morgen fahre ich zu meinen Eltern. Es wird gut, sie mal wieder zu sehen. Wir machen immer eine tolle Zeit zusammen.;Spoken Speech - more than one;;;;;;;;;;;
Hast du das neue Restaurant in der Nähe ausprobiert? Ich war dort letzte Woche und es hat mir wirklich gut gefallen.;Spoken Speech - more than one;;;;;;;;;;;
Ich habe heute den ganzen Tag gearbeitet und bin jetzt richtig fertig. Vielleicht sollte ich einfach früh ins Bett gehen.;Spoken Speech - more than one;;;;;;;;;;;
Wir könnten morgen zusammen einkaufen gehen. Es gibt ein paar Dinge, die ich brauche und es wäre schön, das zusammen zu erledigen.;Spoken Speech - more than one;;;;;;;;;;;
Ich habe gestern ein tolles Angebot für ein Wochenende in den Bergen gefunden. Vielleicht sollten wir es buchen.;Spoken Speech - more than one;;;;;;;;;;;
Ich habe gerade das Buch, das du mir empfohlen hast, zu Ende gelesen. Es war wirklich spannend und hat mich richtig gefesselt.;Spoken Speech - more than one;;;;;;;;;;;
Es tut so gut, nach der Arbeit einfach mal die Füße hochzulegen. Heute Abend werde ich es mir richtig gemütlich machen.;Spoken Speech - more than one;;;;;;;;;;;
Ich war heute mit meinen Freunden im Kino. Der Film war gut, aber das Popcorn war viel zu salzig.;Spoken Speech - more than one;;;;;;;;;;;
Die Kinder haben heute Nachmittag im Garten gespielt. Sie haben so viel gelacht, dass ich auch gleich gute Laune hatte.;Spoken Speech - more than one;;;;;;;;;;;
Ich habe gerade die letzten Reste von gestern aufgewärmt. Es schmeckt immer noch super, obwohl es schon einen Tag alt ist.;Spoken Speech - more than one;;;;;;;;;;;
Ich habe heute versucht, einen Kuchen zu backen. Er ist ganz gut geworden, aber das nächste Mal werde ich ihn ein bisschen länger im Ofen lassen.;Spoken Speech - more than one;;;;;;;;;;;
